Epoch	train_cost	val_cost	epoch_time	learing_rate
271	0.146949	0.140033	41.7433s	0.00025
272	0.146603	0.138675	41.5598s	0.00025
273	0.145992	0.138237	42.2641s	0.000125
274	0.146282	0.137995	42.5309s	0.000125
275	0.145965	0.138856	41.5498s	0.000125
276	0.146047	0.138551	41.8234s	0.000125
277	0.145918	0.138331	42.21s	0.000125
278	0.146144	0.138115	41.9307s	0.000125
279	0.146103	0.13808	41.985s	0.000125
280	0.145573	0.138029	42.0984s	0.000125
281	0.146248	0.138411	42.7364s	0.000125
282	0.145759	0.138015	42.7027s	0.000125
283	0.145968	0.13849	41.8591s	0.000125
284	0.146	0.138664	41.8302s	0.000125
285	0.145704	0.137894	41.4845s	0.000125
286	0.146142	0.138082	42.2609s	0.000125
287	0.146117	0.137834	42.2125s	0.000125
288	0.145972	0.137815	41.564s	0.000125
289	0.145899	0.138237	42.2037s	0.000125
290	0.145783	0.138281	42.4219s	0.000125
291	0.145724	0.137908	41.8996s	0.000125
292	0.145653	0.137666	42.2463s	0.000125
293	0.145887	0.137971	41.7376s	0.000125
294	0.145645	0.137804	41.6483s	0.000125
295	0.146078	0.138005	42.1542s	0.000125
296	0.145774	0.137865	41.9927s	0.000125
297	0.145695	0.138106	41.5467s	0.000125
298	0.145486	0.138006	42.093s	0.000125
299	0.146196	0.138127	42.6658s	0.000125
300	0.145927	0.138175	42.0054s	0.000125
301	0.145701	0.138203	41.9554s	0.000125
302	0.145578	0.137638	41.7875s	0.000125
303	0.145492	0.138127	41.5679s	0.000125
304	0.145726	0.138102	42.2859s	0.000125
305	0.145402	0.137879	42.2522s	0.000125
306	0.145736	0.138522	42.4283s	0.000125
307	0.145437	0.138777	41.9857s	0.000125
308	0.145579	0.137602	42.3406s	0.000125
309	0.145314	0.138121	41.6126s	0.000125
310	0.14541	0.137551	41.4681s	0.000125
311	0.145732	0.138428	42.1259s	0.000125
312	0.145433	0.137203	42.1448s	0.000125
313	0.146155	0.137979	41.6133s	0.000125
314	0.145141	0.137985	42.6765s	0.000125
315	0.145941	0.137473	41.8799s	0.000125
316	0.145472	0.13759	41.8671s	0.000125
317	0.145515	0.137956	41.5417s	0.000125
318	0.14534	0.138152	41.376s	0.000125
319	0.14594	0.138108	42.2932s	0.000125
320	0.145801	0.138699	41.9408s	0.000125
321	0.145209	0.138205	42.5494s	0.000125
322	0.145968	0.137881	41.8345s	0.000125
323	0.145901	0.138252	42.9036s	0.000125
324	0.145383	0.13741	41.4818s	0.000125
325	0.145643	0.138079	42.0198s	0.000125
326	0.145522	0.137742	42.2597s	0.000125
327	0.145833	0.137987	41.9847s	0.000125
328	0.145344	0.137705	42.0089s	0.000125
329	0.145518	0.137682	42.3339s	0.000125
330	0.145095	0.138173	41.5853s	0.000125
331	0.145916	0.137474	42.0594s	0.000125
332	0.145992	0.137765	41.5417s	0.000125
333	0.145432	0.137979	41.727s	0.000125
334	0.145706	0.13751	42.0593s	0.000125
335	0.145415	0.137967	41.9052s	0.000125
336	0.145972	0.137838	42.1895s	0.000125
337	0.145568	0.137741	41.6918s	0.000125
338	0.145513	0.137846	41.6536s	0.000125
339	0.145581	0.137675	41.4718s	0.000125
340	0.145573	0.137536	42.6081s	0.000125
341	0.145919	0.13839	42.2431s	0.000125
342	0.145446	0.137973	42.3693s	0.000125
343	0.145507	0.137675	43.5756s	0.000125
344	0.145265	0.138028	41.7495s	0.000125
345	0.145388	0.137702	41.1715s	0.000125
346	0.145483	0.137516	41.8905s	0.000125
347	0.145285	0.137778	42.3544s	0.000125
348	0.145488	0.138193	42.185s	0.000125
349	0.145576	0.138321	41.83s	0.000125
350	0.145182	0.137766	41.817s	0.000125
351	0.14558	0.137759	41.9149s	0.000125
352	0.145318	0.137472	42.0148s	0.000125
353	0.145064	0.137713	41.4383s	0.000125
354	0.145816	0.137612	41.4348s	0.000125
355	0.145228	0.137339	42.0202s	0.000125
356	0.14525	0.137744	41.5547s	6.25e-05
357	0.145548	0.137987	42.2742s	6.25e-05
358	0.145476	0.137671	41.4931s	6.25e-05
359	0.145351	0.137694	41.6448s	6.25e-05
360	0.145506	0.137637	41.4638s	6.25e-05
361	0.145544	0.137557	42.2968s	6.25e-05
362	0.145303	0.137651	41.9188s	6.25e-05
363	0.145101	0.137421	42.7395s	6.25e-05
364	0.145538	0.137729	42.6303s	6.25e-05
365	0.145225	0.13782	42.2541s	6.25e-05
366	0.145346	0.137503	41.7609s	6.25e-05
367	0.145334	0.137572	42.3082s	6.25e-05
368	0.145387	0.137981	41.6522s	6.25e-05
369	0.145486	0.137565	42.3113s	6.25e-05
370	0.14529	0.137743	42.1s	6.25e-05
371	0.145333	0.13739	41.6555s	6.25e-05
372	0.145442	0.137599	41.9864s	6.25e-05
373	0.14498	0.137561	42.1166s	6.25e-05
374	0.145295	0.137797	41.9714s	6.25e-05
375	0.145154	0.137574	42.1577s	6.25e-05
376	0.145011	0.137657	41.9693s	6.25e-05
377	0.144811	0.137413	42.3762s	6.25e-05
378	0.144609	0.137328	41.8371s	6.25e-05
379	0.144658	0.137382	41.9722s	6.25e-05
380	0.144844	0.137552	41.9126s	6.25e-05
381	0.145572	0.137653	41.897s	6.25e-05
382	0.145724	0.138077	41.3659s	6.25e-05
383	0.144963	0.137112	42.0005s	6.25e-05
384	0.145253	0.13776	41.2772s	6.25e-05
385	0.145188	0.137765	41.836s	6.25e-05
386	0.144578	0.137771	41.8572s	6.25e-05
387	0.144735	0.137854	42.0836s	6.25e-05
388	0.145303	0.13739	41.6723s	6.25e-05
389	0.144607	0.137726	42.1373s	6.25e-05
390	0.144826	0.137486	41.4861s	6.25e-05
391	0.145	0.137571	41.76s	6.25e-05
392	0.144962	0.137462	42.4373s	6.25e-05
393	0.144963	0.137708	41.6513s	6.25e-05
394	0.144647	0.13749	41.5497s	6.25e-05
395	0.144869	0.137707	42.3413s	6.25e-05
396	0.144983	0.138171	42.2986s	6.25e-05
397	0.144767	0.137326	41.102s	6.25e-05
398	0.144759	0.137802	41.9121s	6.25e-05
399	0.145137	0.137306	42.2068s	6.25e-05
400	0.144985	0.137459	42.3595s	6.25e-05
